video_id,title,contract_id,category,category_sub1_name,category_sub2_name,season,phase,series_name,updated_at
cCVbsYQfTxI,Th?i ti?t 12h 16/09/2018: B„o Mangkhut cÛ th? suy y?u th‡nh ·p th?p nhi?t ??i | VTC14,177,News,TV,,,,,9/21/2018 3:20
03YOMdImvwY,Th?i ti?t 12h 19/09/2018: T? mai mi?n B?c m?a s? gi?m v? di?n v‡ l??ng | VTC14,177,News,TV,,,,,9/21/2018 3:20
cnDlh37bT84,D? v?t trong hang n˙i l?a cÛ x??ng ng??i ti?n s? ? ??k NÙng | VTC14,177,News,TV,,,,,9/21/2018 3:20
LJdOpHRYBDM, [Tr?c ti?p] B?n tin Ch‡o bu?i t?i ng‡y 18/09/2018 I VTC14,177,News,TV,,,,,9/21/2018 3:20
QKVJy2VUuPM,"Ti?n Giang: B? 8 t? di?t l?c bÏnh n?i n‡y, chi 1,2 t? tr?ng n?i kh·c | VTC14",177,News,TV,,,,,9/21/2018 3:20
BpJOUFSaV9I,Ng??i d‚n ??ng Th·p thu ho?ch l˙a ch?y l? | VTC1,177,News,TV,,,,,9/21/2018 3:20
EvTheeMYgGM,B?n tin Cu?c s?ng 24h ng‡y 19/09/2018 | VTC14,177,News,TV,,,,,9/21/2018 3:20
etOQJedVxag,Nhi?u b?t th??ng t? d? ·n DAP s? 2 L‡o Cai | VTC14,177,News,TV,,,,,9/21/2018 3:20
1f5RMQT76-E,N?o vÈt b˘n th?i t? s? c? v? ??p b„i th?i ? L‡o Cai | VTC14,177,News,TV,,,,,9/21/2018 3:20
JmMzKELzkoA,"Ch?ng t? vong, v? nguy k?ch do u?ng r??u ng‚m c‚y thu?c | VTC14",177,News,TV,,,,,9/21/2018 3:20
eRK0strH2uc,Gi·o d?c ph? thÙng Vi?t Nam ti?m c?n tiÍu chu?n qu?c t? | VTC14,177,News,TV,,,,,9/21/2018 3:20
RYhB1BHiM-A,Ma t˙y t?ng h?p g‚y ng? ??c nh? th? n‡o?| VTC14,177,News,TV,,,,,9/21/2018 3:20
K2G2Si9eD3k,X·c minh thÙng tin b„i tro x? g‚y Ù nhi?m mÙi tr??ng ? Th·i NguyÍn | VTC14,177,News,TV,,,,,9/21/2018 3:20
DdZROsvabLo,Ph·t hi?n c? s? t·i ch? nh?a x? th?i ra mÙi tr??ng ? Qu?ng Ninh | VTC14,177,News,TV,,,,,9/21/2018 3:20
9EfsYg9aFR4,Thanh HÛa: Ng??i d‚n d˘ng bË m?ng chuy?n h‡ng c?u tr? | VTC14,177,News,TV,,,,,9/21/2018 3:20
T6H2GhSQOj0,"Ng‡y mai, mi?n B?c h?ng n?ng, l? ?BSCL lÍn nhanh | VTC14",177,News,TV,,,,,9/21/2018 3:20
