date,channel_id,video_id,claimed_status,uploader_type,country_code,estimated_partner_revenue,estimated_partner_ad_revenue,estimated_partner_ad_auction_revenue,estimated_partner_ad_reserved_revenue,estimated_youtube_ad_revenue,estimated_monetized_playbacks,estimated_playback_based_cpm,ad_impressions,estimated_cpm,estimated_partner_red_revenue,estimated_partner_transaction_revenue
20190111,UC1CeYWtAz6CpHIgOC3DXQhw,phBOpwoKHRc,claimed,self,BE,0,0,0,0,0,0,0,1,0.01,0,0
20190111,UCLi9B_YdOFsYugQHGii0mlw,UlEEdjALx6E,claimed,thirdParty,US,0.003,0.003,0.003,0,0.005,2,2.405,2,2.405,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,5jXBbk80XQA,claimed,self,PA,0.007,0.007,0.007,0,0.014,7,1.945,7,1.945,0,0
20190111,UCb2iEG1CZVwGCC1VQaRo7ZQ,J7rNcmHDntw,claimed,self,VN,0.001,0.001,0.001,0,0.001,1,1.261,1,1.261,0,0
20190111,UCxkC-Qes_tz0xuQwjaquTzw,x1zlGbsPUQQ,claimed,self,HU,0,0,0,0,0,2,0.013,2,0.013,0,0
20190111,UCb2iEG1CZVwGCC1VQaRo7ZQ,1Z7OHLvuDzI,claimed,self,VN,0,0,0,0,0.001,1,0.62,1,0.62,0,0
20190111,UCMyxS0UhDWoQXTq7yEcwuWw,FJW4IM_GmEk,claimed,self,VN,0.003,0.003,0.003,0,0.005,17,0.28,19,0.251,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,YNtmAvwULQQ,claimed,self,AW,0.001,0.001,0.001,0,0.002,1,1.747,1,1.747,0,0
20190111,UCYhCL52IT71aqnvmscI-aZw,NGWIOM3SX6M,claimed,self,VN,0.008,0.008,0.006,0.002,0.015,26,0.589,28,0.547,0,0
20190111,UCi2_GBlJaCqBcr8vYL01hNQ,J0Y8jHLATCQ,claimed,self,GB,0.01,0.01,0.01,0,0.018,1,18.043,3,6.014,0,0
20190111,UCipHWim9P0HEcScbiorqyEA,8sx5k3h6GLQ,claimed,self,CA,0.003,0.003,0.003,0,0.005,2,2.379,2,2.379,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,jZKRJVnJWNw,claimed,self,IN,0.001,0.001,0.001,0,0.002,8,0.241,9,0.214,0,0
20190111,UCFpT4AHklOEKrdqwmpCMO5g,UWi5VLZewEw,claimed,self,KR,0.003,0.003,0.003,0,0.005,2,2.474,2,2.474,0,0
20190111,UCgb17I1QqqCmZg0QBYye3NA,DGQXd-M25Z0,claimed,self,ZZ,0.002,0.002,0.002,0,0.004,2,1.794,2,1.794,0,0
20190111,UCgBeh1ryYVPOj3F296pZQ8g,bt9C2W7V308,claimed,self,VN,0.001,0.001,0.001,0,0.002,4,0.428,4,0.428,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,8PVWQWCmirM,claimed,self,HU,0.001,0.001,0.001,0,0.002,3,0.665,3,0.665,0,0
